index	text
249	Classic Attraction Banner - Log
250	DFW Attraction Banner - Dome
251	DFW Attraction Banner - Dome
252	DFW Attraction Banner - Lagoon
253	DFW Attraction Banner - Lagoon
254	DFW Attraction Banner - Log
255	DFW Attraction Banner - Log
256	JW Attraction Banner - Dome
257	JW Attraction Banner - Dome
258	JW Attraction Banner - Lagoon
259	JW Attraction Banner - Lagoon
260	JW Attraction Banner - Log
261	JW Attraction Banner - Log
262	Aviary Perch Point - Large
263	
264	Aviary Perch Point - Small
265	
266	Jurassic World Banners - Green
267	Green Jurassic World banners
268	Jurassic World Banners - Yellow
269	Yellow Jurassic World banners
270	Jurassic World Banners - Red
271	Red Jurassic World banners
272	Jurassic World Banners - Blue
273	Blue Jurassic World banners
274	Jurassic Park Banners 01
275	Jurassic Park banner 01
276	Jurassic Park Banners 02
277	Jurassic Park banner 02
278	Jurassic Park Banners 03
279	Jurassic Park banner 03
280	Jurassic Park Banners 04
281	Jurassic Park banner 04
282	Large Banner - Aviary
283	Large Aviary Banners
284	Large Banner - Lagoon
285	Large Lagoon Banners
286	Camera Post
287	
288	Concrete Barrier
289	
290	Construction Crane
291	
292	DFW Container
293	
294	White Container
295	
296	Blue Container
297	
298	Large Wood Crate
299	
300	Container Fuel Tank
301	
302	Unpacked DFW Container
303	
304	Supplies Pile 1
305	
306	Supplies Pile 2
307	
308	Supplies Pile 3
309	
310	Supplies Pile 4
311	
312	Fountain 1
313	
314	Fountain 2
315	
316	Fountain 3
317	
318	Fountain 4
319	
320	Fountain 5
321	Fountain 5
322	Fountain 6
323	Fountain 6
324	Indoraptor Cage
325	
326	John Hammond Statue
327	
328	Classic Lights 1
329	
330	Classic Lights 2
331	
332	Modern Lights 1
333	
334	Modern Lights 2
335	
336	Maintenance Cover
337	
338	Jurassic Park Column
339	Jurassic Park Columns
340	
341	Planter D Foliage
342	Planter D Tree
343	
344	
345	Planter B Foliage
346	Planter B Tree
347	
348	
349	Planter C Foliage
350	Planter C Tree
351	
352	Planter E Amber 1
353	
354	Planter E Amber 2
355	
356	Planter E Amber 3
357	
358	Planter A Foliage 1
359	
360	Planter A Rocks 1
361	
362	Planter A Rocks 2
363	
364	Planter A Foliage 2
365	
366	Planter A Rocks 3
367	
368	Planter Feature 1
369	
370	Planter Feature 2
371	
372	Poles 1
373	Poles 1
374	Poles 2
375	Poles 2
376	Poles 3
377	Poles 3
378	Bench 1
379	Bench 1
380	Bench 2
381	Bench 2
382	Bench 3
383	Bench 3
384	Bin 1
385	Bin 1
386	Bin 2
387	Bin 2
388	Plant Pot 1
389	Plant Pot 1
390	Plant Pot 2
391	Plant Pot 2
392	Sun Lounger
393	Sun Lounger
394	Velociraptor Cage
395	
396	Velociraptor Paddock
397	
398	Arrival Helipad Sign
399	
400	
401	Arrival Helipad Signs
402	Brachiosaurus Enclosure Marker
403	
404	
405	Brachiosaurus Enclosure Markers
406	Carnivore Enclosure Marker
407	
408	
409	Carnivores Enclosure Markers
410	Dilophosaurus Enclosure Marker
411	
412	
413	Dilophosaurus Enclosure Markers
414	East Dock Sign
415	
416	
417	East Dock Signs
418	Flying Enclosure Marker
419	
420	
421	Flying Enclosure Markers
422	Gallimimus Enclosure Marker
423	
424	
425	Gallimimus Enclosure Markers
426	Herbivore Enclosure Marker
427	
428	
429	Herbivore Enclosure Markers
430	Parasaurolophus Enclosure Marker
431	
432	
433	Parasaurolophus Enclosure Markers
434	Spinosaurus Enclosure Marker
435	
436	
437	Spinosaurus Enclosure Markers
438	Triceratops Enclosure Marker
439	
440	
441	Triceratops Enclosure Markers
442	Tyrannosaurus Enclosure Marker
443	
444	
445	Tyrannosaurus Enclosure Markers
446	Velociraptor Enclosure Marker
447	
448	
449	Velociraptor Enclosure Markers
450	Visitor Center Sign
451	
452	
453	Visitor Center Signs
454	Aviary Sign
455	
456	Gyrosphere Sign
457	
458	Jurassic Tour Sign
459	
460	Lagoon Sign
461	
462	Spinosaurus Skeleton
463	
464	Spotlight
465	Spotlight
466	Stegosaurus Cage
467	
468	Storage Shack
469	
470	T. rex Cage
471	
472	Table and Chairs 1
473	
474	Table and Chairs 2
475	
476	Tent Small
477	
478	Tent Large
479	
480	Classic Toilet
481	
482	Trailer Office
483	
484	Large Tree 1
485	A Large Tree
486	Large Tree 2
487	A Large Tree
488	Large Tree 3
489	A Large Tree
490	Medium Tree 1
491	A Medium Tree
492	Medium Tree 2
493	A Medium Tree
494	Medium Tree 3
495	A Medium Tree
496	Small Tree 1
497	A Small Tree
498	Small Tree 2
499	A Small Tree
500	Bushy Tree 1
501	A Bushy Tree
502	Bushy Tree 2
503	A Bushy Tree
504	Camera Post 02
505	
506	Flash Bang
507	
508	Floodlight
509	
510	Heat Detector
511	
512	Watch Tower
513	
514	Tour Path Junction
515	Cannot be deactivated.
516	Allows tour vehicles to move across paths.
517	Tour Path Junction
518	Cannot be deactivated.
519	Allows tour vehicles to move across paths.
520	Carnivore Feeder
521	Deactivating a Carnivore Feeder destroys any existing meat. New meat is not dispensed until the feeder is reactivated.
522	Provides Meat to dinosaurs to satisfy their Comfort and Hunger.<br><br>Food is dispensed when needed. Empty Feeders must be resupplied by Ranger Teams.
523	Carnivore Feeders
524	Piscivore Feeder
525	Deactivating a Piscivore Feeder destroys any existing fish. Fish are not available until the feeder is reactivated.
526	Provides Fish to dinosaurs to satisfy their Comfort and Hunger.<br><br>Food is dispensed when needed. Empty Feeders must be resupplied by Ranger Teams.
527	Piscivore Feeders
528	Live Prey Feeder
529	Live Prey Feeder
530	Deactivating a Live Prey Feeder prevents new prey from being dispensed.
531	Provides Meat and 'Prey' to dinosaurs to satisfy their Comfort and Hunger.<br><br>Food is dispensed when needed. Empty Feeders must be resupplied by Ranger Teams.
532	Live Prey Feeders
533	Deactivating a Live Prey Feeder prevents new prey from being dispensed.
534	Provides Meat and 'Prey' to dinosaurs to satisfy their Comfort and Hunger.<br><br>Food is dispensed when needed. Empty Feeders must be resupplied by Ranger Teams.
535	Live Prey Feeders
536	Gate
537	Cannot be deactivated.
538	Allows Ranger Teams and Mobile Vet Units to access enclosures. <br><br>Can be manually opened and closed.
539	Jurassic World Gate
540	Cannot be deactivated.
541	The Jurassic World gate makes for a dramatic start to any Tour Ride. Must be attached to tour track.
542	Jurassic World Gates
543	Jurassic Park Gate
544	Cannot be deactivated.
545	The Jurassic Park gate makes for a dramatic start to any Tour Ride. Must be attached to tour track.
546	Jurassic Park Gates
547	Tour Gate
548	Cannot be deactivated.
549	Allows Park Tour vehicles to move between enclosures.
550	Tour Gate
551	Cannot be deactivated.
552	Allows Park Tour vehicles to move between enclosures.
553	Tour Gate
554	Cannot be deactivated.
555	Allows Park Tour vehicles to move between enclosures.
556	Tour Gate
557	Cannot be deactivated.
558	Allows Park Tour vehicles to move between enclosures.
559	Jurassic World Gate
560	Cannot be deactivated.
561	The Jurassic World gate makes for a dramatic start to any Gyrosphere Ride. Must be attached to gyrosphere track.
562	Jurassic World Gates
563	Gyrosphere Gate
564	Cannot be deactivated.
565	Allows gyrospheres to move between enclosures.
566	Gyrosphere Gate
567	Cannot be deactivated.
568	Allows gyrospheres to move between enclosures.
569	Jurassic Tour Gate
570	Cannot be deactivated.
571	Allows Jurassic Tour vehicles to move between enclosures.
572	Jurassic Tour Gate
573	Cannot be deactivated.
574	Allows Jurassic Tour vehicles to move between enclosures.
575	Amenity
576	Guest Attraction
577	Deactivating will prevent guest appeal from this location. No power is drawn until it is reactivated.
578	Attracts guests that tend to have particular interests to a specific area. <br><br>Adjusting the ratio of guest interest in each area helps Amenities maximize income.
579	You cannot construct any more Guest Attractions.
580	Guest Attractions
581	Large Amenity
582	Deactivating will prevent amenity coverage from this location. Income is not earned, Running costs are prevented and no power is drawn until it is reactivated.
583	Amenities produce income from guests around them using food, drink, and shopping. <br><br>Tailoring an Amenity to meet the interests of nearby guests is a key way to increase income.
584	You cannot construct any more Large Amenities.
585	Large Amenities
586	Medium Amenity
587	Deactivating will prevent amenity coverage from this location. Income is not earned, Running costs are prevented and no power is drawn until it is reactivated.
588	Amenities produce income from guests around them using food, drink, and shopping. <br><br>Tailoring an Amenity to meet the interests of nearby guests is a key way to increase income.
589	You cannot construct any more Medium Amenities.
590	Medium Amenities
591	Small Amenity
592	Deactivating will prevent amenity coverage from this location. Income is not earned, Running costs are prevented and no power is drawn until it is reactivated.
593	Amenities produce income from guests around them using food, drink, and shopping. <br><br>Tailoring an Amenity to meet the interests of nearby guests is a key way to increase income.
594	You cannot construct any more Small Amenities.
595	Small Amenities
596	Emergency Shelter
597	Emergency Bunker
598	Cannot be deactivated.
599	Provides shelter coverage to nearby guests, increasing guest comfort. <br><br>Can be opened in the event of an emergency to stop Safety Rating from dropping.
600	Emergency Bunkers
601	Cannot be deactivated.
602	Emergency Shelter
603	Cannot be deactivated.
604	Provides shelter coverage to nearby guests, increasing comfort. <br><br>Can be opened in the event of an emergency to stop Safety Rating from dropping.
605	Provides shelter coverage to nearby operatives, increasing comfort. <br><br>Can be opened in the event of an emergency to stop Safety Rating from dropping.
606	Emergency Shelters
607	Provides shelter coverage to nearby guests, increasing guest comfort. <br><br>Can be opened in the event of an emergency to stop Safety Rating from dropping.
608	Provides shelter coverage to nearby operatives, increasing comfort. <br><br>Can be opened in the event of an emergency to stop Safety Rating from dropping.
609	Emergency Shelter
610	Does not draw power, so cannot be deactivated.
611	Provides shelter coverage to nearby Jurassic World employees, increasing comfort. <br><br>Can be opened in the event of an emergency to stop Safety Rating from dropping.
612	Emergency Shelters
613	Emergency Shelters
614	Large Hotel
615	Large Hotel
616	Deactivating will disable accommodation and prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
617	Large hotels provide accommodation for 1000 guests and provide close distance dinosaur visibility for park guests.
618	Hotels
619	Deactivating will disable accommodation and prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
620	Large Hotel
621	Deactivating will disable accommodation and prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
622	Large hotels provide accommodation for 1000 guests and provide close distance dinosaur visibility.
623	Large hotels provide accommodation for 1000 operatives and provide close distance dinosaur visibility.
624	Hotels
625	Large hotels provide accommodation for 1000 guests and provide close distance dinosaur visibility for park guests.
626	Hotels
627	Small Hotel
628	Small Hotel
629	Deactivating will disable accommodation and prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
630	Small hotels provide accommodation for 400 guests and provide close distance dinosaur visibility for park guests.
631	Hotels
632	Deactivating will disable accommodation and prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
633	Small Hotel
634	Deactivating will disable accommodation and prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
635	Small hotels provide accommodation for 400 guests and provide close distance dinosaur visibility.
636	Small hotels provide accommodation for 400 operatives and provide close distance dinosaur visibility.
637	Hotels
638	Small hotels provide accommodation for 400 guests and provide close distance dinosaur visibility for park guests.
639	Hotels
640	Innovation Center
641	Deactivating will disable functionality. No power is drawn until it is reactivated.
642	An educational entertainment experience where technology meets prehistory. <br><br>Attracts guests with specific preferences.
643	Innovation Centers
644	Lagoon Viewing Dome
645	Deactivating will prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
646	A viewing gallery that provides close distance dinosaur visibility for park guests. <br><br>Dinosaurs only contribute to asset rating if they have been recently visible. <br><br>Must be attached to a Viewing Entrance in order to function.
647	A viewing gallery that provides close distance dinosaur visibility for operatives. <br><br>Dinosaurs only contribute to asset rating if they have been recently visible. <br><br>Must be attached to a Viewing Entrance in order to function.
648	Lagoon Viewing Domes
649	Monorail Gate
650	Cannot be deactivated.
651	Monorails improve the park's transport rating by reducing the distance guests have to walk from the Arrival Point to destinations.
652	Monorail Station
653	Deactivating will disable transportation and dinosaur viewing from this location. No power is drawn until it is reactivated.
654	Monorails improve the park's transport rating by reducing the distance guests have to walk from the Arrival Point to destinations.
655	Monorail Stations
656	Monorail Tunnel
657	Cannot be deactivated.
658	Monorails improve the park's transport rating by reducing the distance guests have to walk from the Arrival Point to destinations.
659	Park Tour
660	Deactivating a building pauses ongoing actions and disables functionality. No power is drawn until it is reactivated.
661	An attraction to build through enclosures and aviaries for dinosaur visibility.<br><br>The number of vehicles in the ride can be altered.<br><br>Tours also improve transport rating by reducing the distance guests have to walk from the Arrival Point to destinations.
662	Park Tours
663	This building is in Emergency Shutdown due to a vehicle being destroyed. Ensure no carnivores can reach vehicles and re-open the tour with a Ranger Team.
664	Gyrostation
665	Deactivating a Gyrostation stops and disables gyrospheres. No power is drawn until it is reactivated.
666	An attraction to build through enclosures and aviaries for dinosaur visibility.<br><br>The number of vehicles in the ride can be altered.<br><br>Tours also improve transport rating by reducing the distance guests have to walk from the Arrival Point to destinations.
667	Gyrostations
668	Jurassic Tour
669	Deactivating a Tour Station stops and disables vehicles. No power is drawn until it is reactivated.
670	An attraction to build through enclosures and aviaries for dinosaur visibility.<br><br>The number of vehicles in the ride can be altered.<br><br>Tours also improve transport rating by reducing the distance guests have to walk from the Arrival Point to destinations.
671	Jurassic Tours
672	Photo Point
673	Does not draw power, so cannot be deactivated.
674	Takes photos of guests on tour attractions.
675	Photo Points
676	Photo Point
677	Does not draw power, so cannot be deactivated.
678	Takes photos of guests on tour attractions.
679	Photo Points
680	Photo Point
681	Does not draw power, so cannot be deactivated.
682	Takes photos of guests on tour attractions.
683	Photo Points
684	Restroom
685	Restroom
686	Deactivating will disable restroom coverage from this location. No power is drawn until it is reactivated.
687	Provides restroom coverage to nearby guests, increasing guest comfort.
688	Restrooms
689	Deactivating will disable restroom coverage from this location. No power is drawn until it is reactivated.
690	Restroom
691	Deactivating will disable restroom coverage from this location. No power is drawn until it is reactivated.
692	Provides restroom coverage to nearby guests, increasing comfort.
693	Provides restroom coverage to nearby operatives, increasing comfort.
694	Restrooms
695	Provides restroom coverage to nearby guests, increasing guest comfort.
696	Restrooms
697	Viewing Gallery
698	Viewing Gallery
699	Deactivating will prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
700	A platform that provides close distance dinosaur visibility for park guests. <br><br>Dinosaurs only appeal to guests if they have been recently visible. <br><br>Attach directly to enclosure fences for the closest views.
701	Viewing Galleries
702	Deactivating will prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
703	Research Viewing Gallery
704	Deactivating will prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
705	A platform that provides close distance dinosaur visibility for guests. <br><br>Dinosaurs only appeal to guests if they have been recently visible. <br><br>Attach directly to enclosure fences for the closest views.
706	A platform that provides close distance dinosaur visibility for operatives. <br><br>Dinosaurs only contribute to asset rating if they have been recently visible. <br><br>Attach directly to enclosure fences for the closest views.
707	Viewing Galleries
708	A platform that provides close distance dinosaur visibility for park guests. <br><br>Dinosaurs only appeal to guests if they have been recently visible. <br><br>Attach directly to enclosure fences for the closest views.
709	A platform that provides close distance dinosaur visibility for operatives. <br><br>Dinosaurs only contribute to asset rating if they have been recently visible. <br><br>Attach directly to enclosure fences for the closest views.
710	Viewing Galleries
711	Viewing Platform
712	Viewing Platform
713	Deactivating will prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
714	An elevated platform that provides long distance dinosaur visibility for park guests. <br><br>Dinosaurs only appeal to guests if they have been recently visible. <br><br>Attach directly to enclosure fences for the closest views.
715	Viewing Platforms
716	Deactivating will prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
717	Viewing Platform
718	Deactivating will prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
719	An elevated platform that provides long distance dinosaur visibility for guests. <br><br>Dinosaurs only appeal to guests if they have been recently visible. <br><br>Attach directly to enclosure fences for the closest views.
720	An elevated platform that provides long distance dinosaur visibility for operatives. <br><br>Dinosaurs only contribute to asset rating if they have been recently visible. <br><br>Attach directly to enclosure fences for the closest views.
721	Viewing Platforms
722	An elevated platform that provides long distance dinosaur visibility for park guests. <br><br>Dinosaurs only appeal to guests if they have been recently visible. <br><br>Attach directly to enclosure fences for the closest views.
723	An elevated platform that provides long distance dinosaur visibility for operatives. <br><br>Dinosaurs only contribute to asset rating if they have been recently visible. <br><br>Attach directly to enclosure fences for the closest views.
724	Viewing Platform
725	Deactivating will prevent dinosaur viewing from this location. No power is drawn until it is reactivated.
726	An elevated platform that provides long distance dinosaur visibility for Jurassic World Employees. <br><br>Dinosaurs only appeal to employees if they have been recently visible. <br><br>Attach directly to enclosure fences for the closest views.
727	Viewing Platforms
728	Viewing Platforms
729	Tour Path Junction
730	Cannot be deactivated.
731	Allows tour vehicles to move across paths.
732	Gyrosphere Track
733	Tour Path Junction
734	Cannot be deactivated.
735	Allows tour vehicles to move across paths.
736	Jurassic Tour Route
737	Lagoon Viewing Stand
738	Lagoon Viewing Stand
739	Deactivating will prevent viewing from this location. No power is drawn until it is reactivated.
740	A tiered platform that provides visibility into Lagoons for park guests. <br><br>Marine reptiles only appeal to guests if they have been recently visible. <br><br>Must attach directly to Lagoon edges.
741	Lagoon Viewing Stands
742	Deactivating will prevent viewing from this location. No power is drawn until it is reactivated.
743	Lagoon Viewing Stand
744	Deactivating will prevent viewing from this location. No power is drawn until it is reactivated.
745	A tiered platform that provides visibility into Lagoons for guests. <br><br>Marine reptiles only appeal to guests if they have been recently visible. <br><br>Must attach directly to Lagoon edges.
746	A tiered platform that provides visibility into Lagoons for operatives. <br><br>Marine reptiles only contribute to asset rating if they have been recently visible. <br><br>Must attach directly to Lagoon edges.
747	Lagoon Viewing Stands
748	A tiered platform that provides visibility into Lagoons for park guests. <br><br>Marine reptiles only appeal to guests if they have been recently visible. <br><br>Must attach directly to Lagoon edges.
749	Lagoon Viewing Stands
750	Lagoon Banners 01
751	
752	Lagoon Banners Classic 01
753	
754	Lagoon Boat 01
755	
756	Lagoon Boat 02
757	
758	Lagoon Cages 01
759	
760	Lagoon Cages 02
761	
762	Coral 01
763	
764	Coral 02
765	
766	Coral 03
767	
768	Coral 04
769	
770	Coral 05
771	
772	Lagoon Fountains 01
773	
774	Kelp 1
775	Lagoon Kelp
776	Kelp 2
777	Lagoon Kelp
778	Kelp 3
779	Lagoon Kelp
780	Lagoon Lights 01
781	
782	Lagoon Lights 02
783	
784	Lagoon Lights 03
785	
786	Lagoon Lights 04
787	
788	Lagoon Pillars Classic
789	
790	Lagoon Planters 01
791	
792	Lagoon Planters 02
793	
794	Lagoon Rocks 01
795	
796	Lagoon Rocks 02
797	
798	Lagoon Rocks 03
799	
800	Lagoon Rocks 04
801	
802	Lagoon Rocks 05
803	
804	Lagoon Sails 01
805	
806	Lagoon Sails 02
807	
808	Indominus Rex Skeleton
809	
810	Thermal Vent 01
811	
812	Thermal Vent 02
813	
814	Lagoon Section
815	Lagoon Section
816	Cannot be deactivated.
817	An environment suitable for marine reptiles.
818	Lagoon Sections
819	Cannot be deactivated.
820	Lagoon Section
821	Cannot be deactivated.
822	An environment suitable for marine reptiles.
823	Lagoon Sections
824	An environment suitable for marine reptiles.
825	Lagoon Sections
826	Lagoon Hatchery
827	Lagoon Hatchery
828	Deactivating will prevent new synthesis and incubation tasks from being assigned. No power is drawn until it is reactivated.
829	Allows the genetic synthesis, modification, incubation, and release of marine reptiles. <br><br>Must be attached directly to a Lagoon.
830	Lagoon Hatcheries
831	Deactivating will prevent new synthesis and incubation tasks from being assigned. No power is drawn until it is reactivated.
832	Lagoon Hatchery
833	Deactivating will prevent new synthesis and incubation tasks from being assigned. No power is drawn until it is reactivated.
834	Allows the genetic synthesis, modification, incubation, and release of marine reptiles. <br><br>Must be attached directly to a Lagoon.
835	Lagoon Hatcheries
836	Allows the genetic synthesis, modification, incubation, and release of marine reptiles. <br><br>Must be attached directly to a Lagoon.
837	Lagoon Hatcheries
838	Marine Shark Feeder
839	Marine Shark Feeder
840	Deactivating a Marine Shark Feeder destroys any existing Sharks. New Sharks are not dispensed until the feeder is reactivated.
841	Provides Shark meat to marine reptiles to satisfy their Comfort and Hunger.<br><br>Food is dispensed when needed. Empty Feeders must be resupplied by Ranger Teams.
842	Marine Shark Feeders
843	Deactivating a Marine Shark Feeder destroys any existing Sharks. New Sharks are not dispensed until the feeder is reactivated.
844	Marine Shark Feeder
845	Deactivating a Marine Shark Feeder destroys any existing Sharks. New Sharks are not dispensed until the feeder is reactivated.
846	Provides Shark meat to marine reptiles to satisfy their Comfort and Hunger.<br><br>Food is dispensed when needed. Empty Feeders must be resupplied by Ranger Teams.
847	Marine Shark Feeders
848	Provides Shark meat to marine reptiles to satisfy their Comfort and Hunger.<br><br>Food is dispensed when needed. Empty Feeders must be resupplied by Ranger Teams.
849	Marine Shark Feeders
850	Marine Fish Feeder
851	Deactivating a Marine Fish Feeder prevents new fish from being dispensed.
852	Provides fish to marine reptiles to satisfy their Comfort and Hunger.<br><br>Food is dispensed when needed. Empty Feeders must be resupplied by Ranger Teams.
853	Marine Fish Feeders
854	{LimitDescription}<br><br>{UnlockDescription}
855	You cannot currently build more than {BuildingNumber:int} {BuildingName}.
856	You cannot currently build more than one {BuildingName}.
857	You cannot currently build {BuildingName}.
858	The building limit increase is ready to collect from the Tech Tree.
859	Research contract to increase the building limit is in progress.
860	Research node to increase the building limit is in progress.
861	Research progress is required to increase the building limit.
862	You cannot build more than {BuildingNumber:int} {BuildingName} here.
863	You cannot build more than one {BuildingName} here.
